eco_num,name,moves,FEN
B98,"Sicilian: Najdorf, Goteborg (Argentine) variation",1. e2-e4 c7-c5 2. g1-f3 d7-d6 3. d2-d4 c5-d4 4. f3-d4 g8-f6 5. b1-c3 a7-a6 6. c1-g5 e7-e6 7. f2-f4 f8-e7 8. d1-f3 h7-h6 9. g5-h4 g7-g5,rnbqk2r/1p2bp2/p2ppn1p/6p1/3NPP1B/2N2Q2/PPP3PP/R3KB1R w KQkq - 0 10
B98,Sicilian: Najdorf variation,1. e2-e4 c7-c5 2. g1-f3 d7-d6 3. d2-d4 c5-d4 4. f3-d4 g8-f6 5. b1-c3 a7-a6 6. c1-g5 e7-e6 7. f2-f4 f8-e7 8. d1-f3 d8-c7,rnb1k2r/1pq1bppp/p2ppn2/6B1/3NPP2/2N2Q2/PPP3PP/R3KB1R w KQkq - 3 9
B99,"Sicilian: Najdorf, 7...Be7 main line",1. e2-e4 c7-c5 2. g1-f3 d7-d6 3. d2-d4 c5-d4 4. f3-d4 g8-f6 5. b1-c3 a7-a6 6. c1-g5 e7-e6 7. f2-f4 f8-e7 8. d1-f3 d8-c7 9. 0--0- b8-d7,r1b1k2r/1pqnbppp/p2ppn2/6B1/3NPP2/2N2Q2/PPP3PP/2KR1B1R w kq - 5 10
C00,Французская защита,1. e2-e4 e7-e6,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
C00,"French defence, Steiner variation",1. e2-e4 e7-e6 2. c2-c4,rnbqkbnr/pppp1ppp/4p3/8/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq - 0 2
C00,French: Reti (Spielmann) variation,1. e2-e4 e7-e6 2. b2-b3,rnbqkbnr/pppp1ppp/4p3/8/4P3/1P6/P1PP1PPP/RNBQKBNR b KQkq - 0 2
C00,French: Steinitz attack,1. e2-e4 e7-e6 2. e4-e5,rnbqkbnr/pppp1ppp/4p3/4P3/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2
C00,French: Labourdonnais variation,1. e2-e4 e7-e6 2. f2-f4,rnbqkbnr/pppp1ppp/4p3/8/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2
C00,French: Wing gambit,1. e2-e4 e7-e6 2. g1-f3 d7-d5 3. e4-e5 c7-c5 4. b2-b4,rnbqkbnr/pp3ppp/4p3/2ppP3/1P6/5N2/P1PP1PPP/RNBQKB1R b KQkq - 0 4
C00,French: Pelikan variation,1. e2-e4 e7-e6 2. b1-c3 d7-d5 3. f2-f4,rnbqkbnr/ppp2ppp/4p3/3p4/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq - 0 3
C00,French: Two knights variation,1. e2-e4 e7-e6 2. b1-c3 d7-d5 3. g1-f3,rnbqkbnr/ppp2ppp/4p3/3p4/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3
C00,French: Chigorin variation,1. e2-e4 e7-e6 2. d1-e2,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPPQPPP/RNB1KBNR b KQkq - 1 2
C00,French: King's Indian attack,1. e2-e4 e7-e6 2. d2-d3,rnbqkbnr/pppp1ppp/4p3/8/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq - 0 2
C00,French: Reversed Philidor formation,1. e2-e4 e7-e6 2. d2-d3 d7-d5 3. b1-d2 g8-f6 4. g1-f3 b8-c6 5. f1-e2,r1bqkb1r/ppp2ppp/2n1pn2/3p4/4P3/3P1N2/PPPNBPPP/R1BQK2R b KQkq - 5 5
C00,Lengfellner system,1. e2-e4 e7-e6 2. d2-d4 d7-d6,rnbqkbnr/ppp2ppp/3pp3/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3
C00,St. George defence,1. e2-e4 e7-e6 2. d2-d4 a7-a6,rnbqkbnr/1ppp1ppp/p3p3/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3
C00,French: Schlechter variation,1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. f1-d3,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/3B4/PPP2PPP/RNBQK1NR b KQkq - 1 3
C00,French: Alapin variation,1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. c1-e3,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/4B3/PPP2PPP/RN1QKBNR b KQkq - 1 3
C01,French: exchange variation,1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. e4-d5,rnbqkbnr/ppp2ppp/4p3/3P4/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3
C01,"French: exchange, Svenonius variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. e4-d5 e6-d5 4. b1-c3 g8-f6 5. c1-g5,rnbqkb1r/ppp2ppp/5n2/3p2B1/3P4/2N5/PPP2PPP/R2QKBNR b KQkq - 3 5
C01,"French: exchange, Bogolyubov variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. e4-d5 e6-d5 4. b1-c3 g8-f6 5. c1-g5 b8-c6,r1bqkb1r/ppp2ppp/2n2n2/3p2B1/3P4/2N5/PPP2PPP/R2QKBNR w KQkq - 4 6
C02,French: advance variation,1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. e4-e5,rnbqkbnr/ppp2ppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3
C02,"French: advance, Steinitz variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. e4-e5 c7-c5 4. d4-c5,rnbqkbnr/pp3ppp/4p3/2PpP3/8/8/PPP2PPP/RNBQKBNR b KQkq - 0 4
C02,"French: advance, Nimzovich variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. e4-e5 c7-c5 4. d1-g4,rnbqkbnr/pp3ppp/4p3/2ppP3/3P2Q1/8/PPP2PPP/RNB1KBNR b KQkq - 1 4
C02,"French: advance, Nimzovich system",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. e4-e5 c7-c5 4. g1-f3,rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 4
C02,"French: advance, Wade variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. e4-e5 c7-c5 4. c2-c3 d8-b6 5. g1-f3 c8-d7,rn2kbnr/pp1b1ppp/1q2p3/2ppP3/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq - 3 6
C02,"French: advance, Paulsen attack",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. e4-e5 c7-c5 4. c2-c3 b8-c6 5. g1-f3,r1bqkbnr/pp3ppp/2n1p3/2ppP3/3P4/2P2N2/PP3PPP/RNBQKB1R b KQkq - 2 5
C02,"French: advance, Milner-Barry gambit",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. e4-e5 c7-c5 4. c2-c3 b8-c6 5. g1-f3 d8-b6 6. f1-d3,r1b1kbnr/pp3ppp/1qn1p3/2ppP3/3P4/2PB1N2/PP3PPP/RNBQK2R b KQkq - 4 6
C02,"French: advance, Euwe variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. e4-e5 c7-c5 4. c2-c3 b8-c6 5. g1-f3 c8-d7,r2qkbnr/pp1b1ppp/2n1p3/2ppP3/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq - 3 6
C03,French: Tarrasch,1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-d2,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPPN1PPP/R1BQKBNR b KQkq - 1 3
C03,"French: Tarrasch, Haberditz variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-d2 f7-f5,rnbqkbnr/ppp3pp/4p3/3p1p2/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq - 0 4
C03,"French: Tarrasch, Guimard variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-d2 b8-c6,r1bqkbnr/ppp2ppp/2n1p3/3p4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq - 2 4
C04,"French: Tarrasch, Guimard main line",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-d2 b8-c6 4. g1-f3 g8-f6,r1bqkb1r/ppp2ppp/2n1pn2/3p4/3PP3/5N2/PPPN1PPP/R1BQKB1R w KQkq - 4 5
C05,"French: Tarrasch, closed variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-d2 g8-f6,rnbqkb1r/ppp2ppp/4pn2/3p4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq - 2 4
C05,"French: Tarrasch, Botvinnik variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-d2 g8-f6 4. e4-e5 f6-d7 5. f1-d3 c7-c5 6. c2-c3 b7-b6,rnbqkb1r/p2n1ppp/1p2p3/2ppP3/3P4/2PB4/PP1N1PPP/R1BQK1NR w KQkq - 0 7
C06,"French: Tarrasch, closed variation, main line",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-d2 g8-f6 4. e4-e5 f6-d7 5. f1-d3 c7-c5 6. c2-c3 b8-c6 7. g1-e2 c5-d4 8. c3-d4,r1bqkb1r/pp1n1ppp/2n1p3/3pP3/3P4/3B4/PP1NNPPP/R1BQK2R b KQkq - 0 8
C06,"French: Tarrasch, Leningrad variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-d2 g8-f6 4. e4-e5 f6-d7 5. f1-d3 c7-c5 6. c2-c3 b8-c6 7. g1-e2 c5-d4 8. c3-d4 d7-b6,r1bqkb1r/pp3ppp/1nn1p3/3pP3/3P4/3B4/PP1NNPPP/R1BQK2R w KQkq - 1 9
C07,"French: Tarrasch, open variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-d2 c7-c5,rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq - 0 4
C07,"French: Tarrasch, Eliskases variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-d2 c7-c5 4. e4-d5 d8-d5 5. g1-f3 c5-d4 6. f1-c4 d5-d8,rnbqkbnr/pp3ppp/4p3/8/2Bp4/5N2/PPPN1PPP/R1BQK2R w KQkq - 2 7
C08,"French: Tarrasch, open, 4.ed ed",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-d2 c7-c5 4. e4-d5 e6-d5,rnbqkbnr/pp3ppp/8/2pp4/3P4/8/PPPN1PPP/R1BQKBNR w KQkq - 0 5
C09,"French: Tarrasch, open variation, main line",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-d2 c7-c5 4. e4-d5 e6-d5 5. g1-f3 b8-c6,r1bqkbnr/pp3ppp/2n5/2pp4/3P4/5N2/PPPN1PPP/R1BQKB1R w KQkq - 2 6
C10,French: Paulsen variation,1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3
C10,French: Marshall variation,1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 c7-c5,rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4
C10,French: Rubinstein variation,1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 d5-e4,rnbqkbnr/ppp2ppp/4p3/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4
C10,French: Fort Knox variation,1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 d5-e4 4. c3-e4 c8-d7 5. g1-f3 d7-c6,rn1qkbnr/ppp2ppp/2b1p3/8/3PN3/5N2/PPP2PPP/R1BQKB1R w KQkq - 3 6
C10,"French: Rubinstein, Capablanca line",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 d5-e4 4. c3-e4 b8-d7 5. g1-f3 g8-f6 6. e4-f6 d7-f6 7. f3-e5,r1bqkb1r/ppp2ppp/4pn2/4N3/3P4/8/PPP2PPP/R1BQKB1R b KQkq - 1 7
C10,French: Frere (Becker) variation,1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 d5-e4 4. c3-e4 d8-d5,rnb1kbnr/ppp2ppp/4p3/3q4/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 1 5
C11,French: Swiss variation,1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. f1-d3,rnbqkb1r/ppp2ppp/4pn2/3p4/3PP3/2NB4/PPP2PPP/R1BQK1NR b KQkq - 3 4
C11,French: Henneberger variation,1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-e3,rnbqkb1r/ppp2ppp/4pn2/3p4/3PP3/2N1B3/PPP2PPP/R2QKBNR b KQkq - 3 4
C11,French: Steinitz variation,1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. e4-e5,rnbqkb1r/ppp2ppp/4pn2/3pP3/3P4/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 4
C11,"French: Steinitz, Bradford attack",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. e4-e5 f6-d7 5. f2-f4 c7-c5 6. d4-c5 f8-c5 7. d1-g4,rnbqk2r/pp1n1ppp/4p3/2bpP3/5PQ1/2N5/PPP3PP/R1B1KBNR b KQkq - 1 7
C11,"French: Steinitz, Brodsky-Jones variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. e4-e5 f6-d7 5. f2-f4 c7-c5 6. d4-c5 b8-c6 7. a2-a3 f8-c5 8. d1-g4 0--0 9. g1-f3 f7-f6,r1bq1rk1/pp1n2pp/2n1pp2/2bpP3/5PQ1/P1N2N2/1PP3PP/R1B1KB1R w KQ - 0 10
C11,"French: Steinitz, Boleslavsky variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. e4-e5 f6-d7 5. f2-f4 c7-c5 6. g1-f3 b8-c6 7. c1-e3,r1bqkb1r/pp1n1ppp/2n1p3/2ppP3/3P1P2/2N1BN2/PPP3PP/R2QKB1R b KQkq - 3 7
C11,"French: Steinitz, Gledhill attack",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. e4-e5 f6-d7 5. d1-g4,rnbqkb1r/pppn1ppp/4p3/3pP3/3P2Q1/2N5/PPP2PPP/R1B1KBNR b KQkq - 2 5
C11,French: Burn variation,1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 d5-e4,rnbqkb1r/ppp2ppp/4pn2/6B1/3Pp3/2N5/PPP2PPP/R2QKBNR w KQkq - 0 5
C12,French: MacCutcheon variation,1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-b4,rnbqk2r/ppp2ppp/4pn2/3p2B1/1b1PP3/2N5/PPP2PPP/R2QKBNR w KQkq - 4 5
C12,"French: MacCutcheon, Bogolyubov variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-b4 5. e4-d5 d8-d5 6. g5-f6 g7-f6 7. d1-d2 d5-a5,rnb1k2r/ppp2p1p/4pp2/q7/1b1P4/2N5/PPPQ1PPP/R3KBNR w KQkq - 2 8
C12,"French: MacCutcheon, advance variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-b4 5. e4-e5,rnbqk2r/ppp2ppp/4pn2/3pP1B1/1b1P4/2N5/PPP2PPP/R2QKBNR b KQkq - 0 5
C12,"French: MacCutcheon, Chigorin variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-b4 5. e4-e5 h7-h6 6. e5-f6,rnbqk2r/ppp2pp1/4pP1p/3p2B1/1b1P4/2N5/PPP2PPP/R2QKBNR b KQkq - 0 6
C12,"French: MacCutcheon, Grigoriev variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-b4 5. e4-e5 h7-h6 6. e5-f6 h6-g5 7. f6-g7 h8-g8 8. h2-h4 g5-h4 9. d1-g4,rnbqk1r1/ppp2pP1/4p3/3p4/1b1P2Qp/2N5/PPP2PP1/R3KBNR b KQq - 1 9
C12,"French: MacCutcheon, Bernstein variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-b4 5. e4-e5 h7-h6 6. g5-h4,rnbqk2r/ppp2pp1/4pn1p/3pP3/1b1P3B/2N5/PPP2PPP/R2QKBNR b KQkq - 1 6
C12,"French: MacCutcheon, Janowski variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-b4 5. e4-e5 h7-h6 6. g5-e3,rnbqk2r/ppp2pp1/4pn1p/3pP3/1b1P4/2N1B3/PPP2PPP/R2QKBNR b KQkq - 1 6
C12,"French: MacCutcheon, Dr. Olland (Dutch) variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-b4 5. e4-e5 h7-h6 6. g5-c1,rnbqk2r/ppp2pp1/4pn1p/3pP3/1b1P4/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 6
C12,"French: MacCutcheon, Tartakower variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-b4 5. e4-e5 h7-h6 6. g5-d2 f6-d7,rnbqk2r/pppn1pp1/4p2p/3pP3/1b1P4/2N5/PPPB1PPP/R2QKBNR w KQkq - 2 7
C12,"French: MacCutcheon, Lasker variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-b4 5. e4-e5 h7-h6 6. g5-d2 b4-c3,rnbqk2r/ppp2pp1/4pn1p/3pP3/3P4/2b5/PPPB1PPP/R2QKBNR w KQkq - 0 7
C12,"French: MacCutcheon, Duras variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-b4 5. e4-e5 h7-h6 6. g5-d2 b4-c3 7. b2-c3 f6-e4 8. d1-g4 e8-f8 9. d2-c1,rnbq1k1r/ppp2pp1/4p2p/3pP3/3Pn1Q1/2P5/P1P2PPP/R1B1KBNR b KQ - 4 9
C12,"French: MacCutcheon, Lasker variation, 8...g6",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-b4 5. e4-e5 h7-h6 6. g5-d2 b4-c3 7. b2-c3 f6-e4 8. d1-g4 g7-g6,rnbqk2r/ppp2p2/4p1pp/3pP3/3Pn1Q1/2P5/P1PB1PPP/R3KBNR w KQkq - 0 9
C13,French: classical,1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-e7,rnbqk2r/ppp1bppp/4pn2/3p2B1/3PP3/2N5/PPP2PPP/R2QKBNR w KQkq - 4 5
C13,"French: classical, Anderssen variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-e7 5. g5-f6,rnbqk2r/ppp1bppp/4pB2/3p4/3PP3/2N5/PPP2PPP/R2QKBNR b KQkq - 0 5
C13,"French: classical, Anderssen-Richter variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-e7 5. g5-f6 e7-f6 6. e4-e5 f6-e7 7. d1-g4,rnbqk2r/ppp1bppp/4p3/3pP3/3P2Q1/2N5/PPP2PPP/R3KBNR b KQkq - 2 7
C13,"French: classical, Vistaneckis (Nimzovich) variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-e7 5. e4-e5 f6-g8,rnbqk1nr/ppp1bppp/4p3/3pP1B1/3P4/2N5/PPP2PPP/R2QKBNR w KQkq - 1 6
C13,"French: classical, Frankfurt variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-e7 5. e4-e5 f6-g8 6. g5-e3 b7-b6,rnbqk1nr/p1p1bppp/1p2p3/3pP3/3P4/2N1B3/PPP2PPP/R2QKBNR w KQkq - 0 7
C13,"French: classical, Tartakower variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-e7 5. e4-e5 f6-e4,rnbqk2r/ppp1bppp/4p3/3pP1B1/3Pn3/2N5/PPP2PPP/R2QKBNR w KQkq - 1 6
C13,French: Albin-Alekhine-Chatard attack,1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-e7 5. e4-e5 f6-d7 6. h2-h4,rnbqk2r/pppnbppp/4p3/3pP1B1/3P3P/2N5/PPP2PP1/R2QKBNR b KQkq - 0 6
C13,"French: Albin-Alekhine-Chatard attack, Maroczy variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-e7 5. e4-e5 f6-d7 6. h2-h4 a7-a6,rnbqk2r/1ppnbppp/p3p3/3pP1B1/3P3P/2N5/PPP2PP1/R2QKBNR w KQkq - 0 7
C13,"French: Albin-Alekhine-Chatard attack, Breyer variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-e7 5. e4-e5 f6-d7 6. h2-h4 c7-c5,rnbqk2r/pp1nbppp/4p3/2ppP1B1/3P3P/2N5/PPP2PP1/R2QKBNR w KQkq - 0 7
C13,"French: Albin-Alekhine-Chatard attack, Teichmann variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-e7 5. e4-e5 f6-d7 6. h2-h4 f7-f6,rnbqk2r/pppnb1pp/4pp2/3pP1B1/3P3P/2N5/PPP2PP1/R2QKBNR w KQkq - 0 7
C13,"French: Albin-Alekhine-Chatard attack, Spielmann variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-e7 5. e4-e5 f6-d7 6. h2-h4 0--0,rnbq1rk1/pppnbppp/4p3/3pP1B1/3P3P/2N5/PPP2PP1/R2QKBNR w KQ - 1 7
C14,French: classical variation,1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-e7 5. e4-e5 f6-d7 6. g5-e7 d8-e7,rnb1k2r/pppnqppp/4p3/3pP3/3P4/2N5/PPP2PPP/R2QKBNR w KQkq - 0 7
C14,"French: classical, Tarrasch variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-e7 5. e4-e5 f6-d7 6. g5-e7 d8-e7 7. f1-d3,rnb1k2r/pppnqppp/4p3/3pP3/3P4/2NB4/PPP2PPP/R2QK1NR b KQkq - 1 7
C14,"French: classical, Rubinstein variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-e7 5. e4-e5 f6-d7 6. g5-e7 d8-e7 7. d1-d2,rnb1k2r/pppnqppp/4p3/3pP3/3P4/2N5/PPPQ1PPP/R3KBNR b KQkq - 1 7
C14,"French: classical, Alapin variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-e7 5. e4-e5 f6-d7 6. g5-e7 d8-e7 7. c3-b5,rnb1k2r/pppnqppp/4p3/1N1pP3/3P4/8/PPP2PPP/R2QKBNR b KQkq - 1 7
C14,"French: classical, Pollock variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-e7 5. e4-e5 f6-d7 6. g5-e7 d8-e7 7. d1-g4,rnb1k2r/pppnqppp/4p3/3pP3/3P2Q1/2N5/PPP2PPP/R3KBNR b KQkq - 1 7
C14,"French: classical, Steinitz variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-e7 5. e4-e5 f6-d7 6. g5-e7 d8-e7 7. f2-f4,rnb1k2r/pppnqppp/4p3/3pP3/3P1P2/2N5/PPP3PP/R2QKBNR b KQkq - 0 7
C14,"French: classical, Stahlberg variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 g8-f6 4. c1-g5 f8-e7 5. e4-e5 f6-d7 6. g5-e7 d8-e7 7. f2-f4 0--0 8. g1-f3 c7-c5 9. d1-d2 b8-c6 10. 0--0- c5-c4,r1b2rk1/pp1nqppp/2n1p3/3pP3/2pP1P2/2N2N2/PPPQ2PP/2KR1B1R w - - 0 11
C15,French: Winawer (Nimzovich) variation,1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 f8-b4,rnbqk1nr/ppp2ppp/4p3/3p4/1b1PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 2 4
C15,"French: Winawer, Kondratiyev variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 f8-b4 4. f1-d3 c7-c5 5. e4-d5 d8-d5 6. c1-d2,rnb1k1nr/pp3ppp/4p3/2pq4/1b1P4/2NB4/PPPB1PPP/R2QK1NR b KQkq - 1 6
C15,"French: Winawer, fingerslip variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 f8-b4 4. c1-d2,rnbqk1nr/ppp2ppp/4p3/3p4/1b1PP3/2N5/PPPB1PPP/R2QKBNR b KQkq - 3 4
C15,"French: Winawer, Alekhine (Maroczy) gambit",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 f8-b4 4. g1-e2,rnbqk1nr/ppp2ppp/4p3/3p4/1b1PP3/2N5/PPP1NPPP/R1BQKB1R b KQkq - 3 4
C15,"French: Winawer, Alekhine gambit, Alatortsev variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 f8-b4 4. g1-e2 d5-e4 5. a2-a3 b4-e7 6. c3-e4 g8-f6 7. e2-g3 0--0 8. f1-e2 b8-c6,r1bq1rk1/ppp1bppp/2n1pn2/8/3PN3/P5N1/1PP1BPPP/R1BQK2R w KQ - 5 9
C15,"French: Winawer, Alekhine gambit",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 f8-b4 4. g1-e2 d5-e4 5. a2-a3 b4-c3,rnbqk1nr/ppp2ppp/4p3/8/3Pp3/P1b5/1PP1NPPP/R1BQKB1R w KQkq - 0 6
C15,"French: Winawer, Alekhine gambit, Kan variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 f8-b4 4. g1-e2 d5-e4 5. a2-a3 b4-c3 6. e2-c3 b8-c6,r1bqk1nr/ppp2ppp/2n1p3/8/3Pp3/P1N5/1PP2PPP/R1BQKB1R w KQkq - 1 7
C16,"French: Winawer, advance variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 f8-b4 4. e4-e5,rnbqk1nr/ppp2ppp/4p3/3pP3/1b1P4/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 4
C16,"French: Winawer, Petrosian variation",1. e2-e4 e7-e6 2. d2-d4 d7-d5 3. b1-c3 f8-b4 4. e4-e5 d8-d7,rnb1k1nr/pppq1ppp/4p3/3pP3/1b1P4/2N5/PPP2PPP/R1BQKBNR w KQkq - 1 5
