eco_num,name,moves,FEN
A01,Дебют Нимцовича-Ларсена: английский вариант,1. b2-b3 c7-c5,rnbqkbnr/pp1ppppp/8/2p5/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2
A01,Дебют Нимцовича-Ларсена: голландский вариант,1. b2-b3 f7-f5,rnbqkbnr/ppppp1pp/8/5p2/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2
A01,Дебют Нимцовича-Ларсена: польский вариант,1. b2-b3 b7-b5,rnbqkbnr/p1pppppp/8/1p6/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2
A01,Дебют Нимцовича-Ларсена: симметричный вариант,1. b2-b3 b7-b6,rnbqkbnr/p1pppppp/1p6/8/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2
A02,Дебют Берда,1. f2-f4,rnbqkbnr/pppppppp/8/8/5P2/8/PPPPP1PP/RNBQKBNR b KQkq - 0 1
A02,Дебют Берда: гамбит Фрома,1. f2-f4 e7-e5,rnbqkbnr/pppp1ppp/8/4p3/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 0 2
A02,"Дебют Берда: гамбит Фрома, вариант Ласкера ",1. f2-f4 e7-e5 2. f4-e5 d7-d6 3. e5-d6 f8-d6 4. g1-f3 g7-g5,rnbqk1nr/ppp2p1p/3b4/6p1/8/5N2/PPPPP1PP/RNBQKB1R w KQkq - 0 5
A02,"Дебют Берда: гамбит Фрома, вариант Липке",1. f2-f4 e7-e5 2. f4-e5 d7-d6 3. e5-d6 f8-d6 4. g1-f3 g8-h6 5. d2-d4,rnbqk2r/ppp2ppp/3b3n/8/3P4/5N2/PPP1P1PP/RNBQKB1R b KQkq - 0 5
A02,Дебют Берда: швейцарский гамбит,1. f2-f4 f7-f5 2. e2-e4 f5-e4 3. b1-c3 g8-f6 4. g2-g4,rnbqkb1r/ppppp1pp/5n2/8/4pPP1/2N5/PPPP3P/R1BQKBNR b KQkq - 0 4
A02,Дебют Берда: гамбит Хоббса ,1. f2-f4 g7-g5,rnbqkbnr/pppppp1p/8/6p1/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 0 2
A03,Bird's opening,1. f2-f4 d7-d5,rnbqkbnr/ppp1pppp/8/3p4/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 0 2
A03,Mujannah opening,1. f2-f4 d7-d5 2. c2-c4,rnbqkbnr/ppp1pppp/8/3p4/2P2P2/8/PP1PP1PP/RNBQKBNR b KQkq - 0 2
A03,Bird's opening: Williams gambit,1. f2-f4 d7-d5 2. e2-e4,rnbqkbnr/ppp1pppp/8/3p4/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2
A03,Bird's opening: Lasker variation,1. f2-f4 d7-d5 2. g1-f3 g8-f6 3. e2-e3 c7-c5,rnbqkb1r/pp2pppp/5n2/2pp4/5P2/4PN2/PPPP2PP/RNBQKB1R w KQkq - 0 4
A03,Bird's opening,1. f2-f4 d7-d5,rnbqkbnr/ppp1pppp/8/3p4/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 0 2
A03,Bird's opening: Williams gambit,1. f2-f4 d7-d5 2. e2-e4,rnbqkbnr/ppp1pppp/8/3p4/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2
A03,Bird's opening: Lasker variation,1. f2-f4 d7-d5 2. g1-f3 g8-f6 3. e2-e3 c7-c5,rnbqkb1r/pp2pppp/5n2/2pp4/5P2/4PN2/PPPP2PP/RNBQKB1R w KQkq - 0 4
A04,Начало Рети,1. g1-f3,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1
A04,Reti v Dutch,1. g1-f3 f7-f5,rnbqkbnr/ppppp1pp/8/5p2/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2
A04,Reti: Pirc-Lisitsin gambit,1. g1-f3 f7-f5 2. e2-e4,rnbqkbnr/ppppp1pp/8/5p2/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 2
A04,Reti: Lisitsin gambit deferred,1. g1-f3 f7-f5 2. d2-d3 g8-f6 3. e2-e4,rnbqkb1r/ppppp1pp/5n2/5p2/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 0 3
A04,Reti: Wade defence,1. g1-f3 d7-d6 2. e2-e4 c8-g4,rn1qkbnr/ppp1pppp/3p4/8/4P1b1/5N2/PPPP1PPP/RNBQKB1R w KQkq - 1 3
A04,Reti: Herrstroem gambit,1. g1-f3 g7-g5,rnbqkbnr/pppppp1p/8/6p1/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2
A05,"Reti: King's Indian attack, Spassky's variation",1. g1-f3 g8-f6 2. g2-g3 b7-b5,rnbqkb1r/p1pppppp/5n2/1p6/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 0 3
A05,Reti: King's Indian attack,1. g1-f3 g8-f6 2. g2-g3 g7-g6,rnbqkb1r/pppppp1p/5np1/8/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 0 3
A05,"Reti: King's Indian attack, Reti-Smyslov variation",1. g1-f3 g8-f6 2. g2-g3 g7-g6 3. b2-b4,rnbqkb1r/pppppp1p/5np1/8/1P6/5NP1/P1PPPP1P/RNBQKB1R b KQkq - 0 3
A06,Reti: old Indian attack,1. g1-f3 d7-d5 2. d2-d3,rnbqkbnr/ppp1pppp/8/3p4/8/3P1N2/PPP1PPPP/RNBQKB1R b KQkq - 0 2
A06,Santasiere's folly,1. g1-f3 d7-d5 2. b2-b4,rnbqkbnr/ppp1pppp/8/3p4/1P6/5N2/P1PPPPPP/RNBQKB1R b KQkq - 0 2
A06,"Tennison (Lemberg, Zukertort) gambit",1. g1-f3 d7-d5 2. e2-e4,rnbqkbnr/ppp1pppp/8/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 2
A06,Reti: Nimzovich-Larsen attack,1. g1-f3 d7-d5 2. b2-b3,rnbqkbnr/ppp1pppp/8/3p4/8/1P3N2/P1PPPPPP/RNBQKB1R b KQkq - 0 2
A07,Reti: King's Indian attack (Barcza system),1. g1-f3 d7-d5 2. g2-g3,rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 0 2
A07,"Reti: King's Indian attack, Yugoslav variation",1. g1-f3 d7-d5 2. g2-g3 g8-f6 3. f1-g2 c7-c6 4. 0--0 c8-g4,rn1qkb1r/pp2pppp/2p2n2/3p4/6b1/5NP1/PPPPPPBP/RNBQ1RK1 w kq - 2 5
A07,"Reti: King's Indian attack, Keres variation",1. g1-f3 d7-d5 2. g2-g3 c8-g4 3. f1-g2 b8-d7,r2qkbnr/pppnpppp/8/3p4/6b1/5NP1/PPPPPPBP/RNBQK2R w KQkq - 3 4
A07,Reti: King's Indian attack,1. g1-f3 d7-d5 2. g2-g3 g7-g6,rnbqkbnr/ppp1pp1p/6p1/3p4/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 0 3
A07,"Reti: King's Indian attack, Pachman system",1. g1-f3 d7-d5 2. g2-g3 g7-g6 3. f1-g2 f8-g7 4. 0--0 e7-e5 5. d2-d3 g8-e7,rnbqk2r/ppp1npbp/6p1/3pp3/8/3P1NP1/PPP1PPBP/RNBQ1RK1 w kq - 1 6
A07,Reti: King's Indian attack (with ...c5),1. g1-f3 d7-d5 2. g2-g3 c7-c5,rnbqkbnr/pp2pppp/8/2pp4/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 0 3
